idade,frequencia,nota_media,situacao_socioeconomica,distancia_escola,evasao
14,59,9.0,alta,9,0
13,71,6.1,baixa,8,0
6,83,4.5,baixa,14,0
17,94,6.5,media,8,0
13,71,8.9,alta,1,0
13,71,8.7,baixa,17,0
16,55,4.3,alta,9,0
8,80,6.6,baixa,11,0
6,85,6.4,baixa,19,0
13,60,5.7,media,6,0
8,67,4.6,baixa,4,0
8,83,7.2,alta,5,0
6,52,6.9,alta,11,0
16,98,7.6,alta,18,0
10,90,7.6,media,2,1
15,99,5.3,baixa,15,0
12,87,7.9,media,12,1
15,85,8.0,baixa,19,0
14,66,8.7,media,13,0
17,79,8.1,baixa,7,0
12,79,7.4,media,3,0
14,92,6.9,alta,5,0
13,99,6.4,media,10,0
17,80,9.9,baixa,3,0
7,81,5.0,media,14,0
6,97,9.1,baixa,3,0
12,68,7.1,baixa,2,1
12,58,9.2,media,15,0
13,98,5.3,baixa,16,0
10,65,9.9,baixa,4,0
8,87,6.3,alta,7,1
17,68,6.8,baixa,4,0
13,79,9.6,baixa,9,0
11,85,8.8,media,16,1
16,60,9.4,media,8,0
8,64,9.3,media,16,0
6,73,7.5,baixa,16,0
8,90,5.1,alta,10,1
10,70,7.3,media,19,0
8,92,10.0,alta,13,0
6,59,7.9,media,16,0
10,91,9.8,media,8,0
15,74,8.9,alta,9,0
12,81,9.6,media,16,1
12,82,4.3,media,4,0
16,98,8.4,media,13,0
14,99,6.5,baixa,10,0
15,73,7.9,baixa,7,0
15,70,7.4,baixa,19,0
17,75,7.1,media,2,1
8,66,8.1,baixa,4,1
12,68,9.7,alta,13,0
6,52,7.5,baixa,9,0
9,62,7.8,media,18,0
9,51,5.0,alta,19,0
10,90,7.1,media,9,0
12,94,9.4,baixa,18,1
12,81,6.3,media,15,1
16,82,4.8,baixa,14,1
9,81,4.0,baixa,15,0
12,91,6.2,media,5,0
16,74,9.7,baixa,16,0
8,52,9.2,baixa,3,0
11,91,9.8,baixa,5,0
17,56,4.6,baixa,15,0
7,98,5.3,alta,9,1
15,74,7.2,media,15,0
14,72,9.3,alta,8,0
10,77,5.7,baixa,9,0
11,61,5.7,alta,14,0
17,57,9.1,media,3,0
17,99,4.5,alta,16,0
17,84,9.1,media,12,0
17,74,7.6,media,13,1
9,79,4.3,media,16,0
16,81,9.1,baixa,12,0
15,85,7.1,baixa,2,0
12,81,4.7,alta,1,0
17,74,8.7,baixa,5,0
14,75,7.0,media,3,0
12,57,6.9,media,5,0
6,54,4.6,baixa,7,1
6,92,5.4,alta,16,0
14,51,5.1,alta,10,0
16,68,8.4,alta,5,0
14,52,7.0,baixa,11,0
9,61,5.8,media,16,0
14,88,7.5,alta,7,0
8,81,5.0,baixa,4,0
12,55,4.9,baixa,1,0
11,57,6.6,baixa,5,0
13,54,8.6,media,4,0
16,62,5.0,baixa,11,0
14,80,5.7,baixa,10,0
10,62,6.2,media,17,0
6,50,8.9,media,9,0
8,95,8.1,baixa,16,1
15,53,8.2,baixa,3,0
17,69,5.1,alta,13,0
13,78,5.9,baixa,12,0
16,81,8.8,baixa,1,0
11,82,9.8,media,7,0
13,63,7.9,baixa,15,0
14,68,4.8,media,17,0
9,52,8.8,media,4,0
6,60,9.7,baixa,19,0
6,58,8.3,baixa,5,0
15,77,8.6,alta,15,0
9,51,5.5,media,9,0
17,62,6.9,baixa,7,0
12,84,7.9,baixa,11,0
7,80,4.6,media,2,0
8,92,6.6,alta,10,1
6,63,5.2,media,18,0
10,64,6.6,alta,2,0
6,54,9.6,alta,4,0
13,88,9.1,baixa,16,0
6,83,6.9,media,17,0
16,87,7.3,alta,13,0
6,92,5.2,baixa,6,0
7,51,5.2,alta,16,0
7,94,7.9,baixa,8,1
17,82,6.2,baixa,17,0
11,76,9.2,media,12,0
12,52,8.9,alta,9,1
10,51,9.0,baixa,7,0
6,77,6.3,media,13,0
6,79,9.2,baixa,12,0
8,90,6.0,media,16,1
7,99,8.0,media,13,1
10,72,6.0,alta,4,0
17,82,8.9,media,5,0
15,63,6.0,baixa,7,0
11,63,9.5,media,5,0
12,99,9.0,alta,12,0
9,62,8.1,baixa,11,0
12,53,4.8,baixa,6,0
16,99,8.6,baixa,2,0
13,68,8.6,media,1,0
16,73,9.2,alta,11,0
6,85,6.2,media,8,0
11,55,6.9,media,8,0
13,61,4.6,media,5,0
10,58,7.9,baixa,3,0
9,62,8.6,media,17,0
7,73,7.4,media,3,0
11,95,6.9,baixa,19,0
11,64,8.4,media,9,1
16,95,7.8,media,11,0
6,99,8.8,baixa,17,1
14,79,5.7,media,15,1
17,81,8.3,media,18,0
16,81,5.1,media,19,0
11,83,9.0,alta,13,0
8,84,8.5,media,11,0
9,67,8.0,baixa,17,1
17,68,5.8,baixa,4,0
16,99,5.6,baixa,16,0
9,64,9.3,baixa,14,0
8,71,6.7,media,13,0
15,74,7.8,baixa,11,0
8,73,4.2,media,3,0
8,55,7.4,alta,5,0
9,85,5.0,media,12,1
12,59,7.2,baixa,10,0
9,61,5.4,baixa,4,0
14,54,10.0,baixa,17,1
6,69,6.5,baixa,12,0
13,86,7.7,alta,15,1
12,97,7.6,media,1,0
7,67,6.2,media,13,1
13,96,5.0,media,11,0
6,89,8.1,media,12,0
16,82,4.3,media,17,0
17,90,8.3,media,2,0
14,61,7.4,baixa,2,1
14,82,7.5,baixa,17,0
7,54,9.5,media,6,0
12,58,8.4,baixa,15,0
15,82,9.9,alta,5,1
8,79,6.4,baixa,15,0
12,95,8.2,media,12,0
17,66,4.8,baixa,15,1
15,84,9.2,alta,6,0
14,65,8.1,baixa,8,0
9,89,6.8,alta,14,1
17,68,7.2,baixa,3,0
6,96,5.3,alta,19,0
7,51,9.7,alta,3,0
6,55,7.4,media,1,0
17,91,4.1,media,3,0
10,94,6.1,media,13,0
10,96,6.5,media,13,0
16,60,6.5,baixa,5,0
12,58,8.7,baixa,14,0
14,76,9.1,baixa,9,0
14,63,8.1,baixa,10,0
8,84,6.2,alta,4,0
8,69,6.6,baixa,9,0
8,81,7.9,baixa,4,0
9,97,7.8,alta,1,0
13,57,9.1,alta,1,0
11,60,9.8,baixa,18,0
13,51,5.9,baixa,8,0
6,54,7.7,media,3,0
13,79,5.8,baixa,17,0
9,93,7.8,baixa,4,0
16,90,6.9,baixa,6,0
6,60,7.2,alta,16,0
13,65,6.0,baixa,19,1
9,74,8.3,baixa,17,0
11,91,9.8,baixa,5,0
13,74,4.4,baixa,7,0
9,60,10.0,alta,6,0
8,50,6.5,media,11,0
14,82,4.9,baixa,7,0
8,50,6.0,alta,17,0
14,96,5.3,alta,9,0
7,58,9.1,baixa,11,0
7,76,5.2,baixa,19,0
7,87,4.9,media,17,0
11,68,8.1,media,11,0
8,89,10.0,media,5,0
14,66,8.6,baixa,11,1
9,61,4.1,media,16,1
6,51,5.3,media,4,0
9,57,8.9,media,4,0
6,82,7.0,media,11,1
10,62,4.6,baixa,3,0
9,92,9.0,baixa,11,0
13,70,9.1,alta,10,0
13,68,7.3,baixa,5,0
12,83,6.7,alta,11,0
8,79,9.2,media,11,0
6,69,8.3,baixa,12,0
6,67,5.8,baixa,16,0
17,70,4.1,baixa,14,0
16,85,6.9,baixa,15,0
8,56,4.9,alta,3,1
11,54,6.8,media,14,0
12,58,6.9,alta,15,0
11,94,7.7,media,8,1
11,67,4.9,baixa,7,1
11,96,7.1,alta,2,0
8,99,7.7,baixa,1,0
11,50,5.3,baixa,3,0
13,85,9.9,baixa,6,1
16,94,5.1,baixa,1,1
16,63,8.5,alta,10,0
7,57,5.5,media,7,0
10,86,6.5,baixa,17,0
6,69,8.8,media,13,0
17,80,7.8,baixa,3,0
6,56,9.8,media,4,0
10,90,6.4,baixa,2,0
17,87,8.3,media,6,0
8,93,7.0,baixa,18,0
9,92,5.7,alta,9,0
8,64,4.4,baixa,4,0
6,98,8.4,media,10,0
6,84,4.9,alta,1,0
17,66,7.4,baixa,7,0
17,76,9.4,media,9,1
10,70,4.5,baixa,9,0
11,89,7.8,baixa,7,0
8,93,4.2,baixa,8,1
17,94,8.6,alta,12,0
14,75,7.4,baixa,9,0
10,93,6.6,baixa,12,0
13,54,5.9,media,7,1
6,82,8.8,baixa,13,1
10,98,8.9,baixa,18,0
8,54,8.5,baixa,11,0
17,77,8.7,media,7,0
6,70,7.2,alta,16,0
9,57,4.4,media,10,0
10,51,4.4,baixa,7,1
12,86,7.2,baixa,7,0
6,63,6.2,alta,9,1
8,83,7.4,baixa,9,0
7,93,5.1,baixa,2,0
14,95,9.9,alta,7,0
15,86,8.3,baixa,14,0
11,70,5.3,baixa,8,0
15,76,8.3,media,6,0
8,99,5.5,alta,9,0
13,67,7.7,alta,12,0
13,97,4.7,baixa,3,1
7,54,5.6,media,2,0
11,83,5.3,baixa,8,0
12,67,4.1,alta,8,1
7,84,9.7,baixa,1,0
16,75,4.7,media,9,1
15,78,8.2,baixa,4,0
7,90,7.7,baixa,14,0
15,77,6.2,baixa,13,0
6,55,7.2,baixa,12,0
13,75,6.3,media,15,0
6,67,8.7,baixa,6,0
14,79,9.7,baixa,6,0
16,82,9.4,baixa,4,1
11,81,6.4,baixa,1,1
12,99,7.8,baixa,19,1
15,75,5.7,media,7,0
12,71,7.0,baixa,15,0
15,83,6.0,baixa,10,0
8,98,6.1,media,6,1
7,61,5.9,alta,14,0
14,71,5.5,media,9,0
13,70,7.1,media,4,0
17,73,7.8,media,19,0
15,74,9.7,media,15,0
12,51,5.2,media,10,1
14,50,6.9,alta,15,0
9,59,8.2,media,17,0
9,83,7.2,media,7,0
6,54,8.5,media,8,0
13,66,7.6,baixa,8,0
17,50,6.8,media,7,1
8,63,7.1,baixa,13,0
12,70,5.5,baixa,17,0
17,55,4.0,media,4,0
7,60,4.3,baixa,1,1
7,88,9.1,baixa,19,0
12,69,4.8,baixa,17,1
11,69,4.3,media,2,0
8,70,9.6,alta,17,0
14,73,9.3,media,12,0
15,90,4.4,baixa,16,0
11,75,4.1,baixa,16,0
15,52,4.7,media,7,0
15,87,7.2,alta,3,0
11,90,6.2,alta,6,0
6,87,7.3,baixa,2,0
9,77,6.3,baixa,18,0
15,59,7.7,media,17,0
11,73,8.9,media,17,0
11,89,8.6,media,1,1
16,97,4.7,baixa,14,1
17,56,7.0,media,13,0
10,72,9.9,media,15,1
6,72,8.7,baixa,3,0
13,73,8.1,baixa,11,0
10,80,7.0,baixa,13,0
17,99,8.6,baixa,6,0
17,99,7.3,alta,11,0
17,96,8.6,baixa,10,0
10,71,8.6,baixa,8,0
12,76,5.4,baixa,14,0
9,87,5.1,media,19,0
11,54,6.9,baixa,3,0
9,67,8.2,baixa,8,0
8,57,8.4,baixa,15,0
12,84,7.2,baixa,18,0
13,97,7.8,alta,14,0
9,98,8.8,baixa,9,0
7,66,9.2,baixa,16,0
17,61,7.0,baixa,12,1
15,88,5.0,media,18,0
8,71,8.1,baixa,6,0
6,55,5.1,alta,8,1
13,79,5.3,alta,16,0
8,51,8.7,baixa,19,0
17,54,6.9,baixa,12,0
15,51,6.3,baixa,12,0
12,84,6.2,media,1,0
15,54,8.6,alta,3,0
10,80,6.4,media,1,0
15,66,6.7,alta,9,0
10,76,5.7,alta,1,0
12,80,7.5,baixa,14,1
14,59,8.4,alta,6,0
17,61,5.9,baixa,11,0
10,67,9.2,baixa,7,0
6,62,4.1,media,14,0
15,57,4.1,alta,16,1
15,84,5.6,alta,13,0
6,93,9.2,media,17,0
7,53,6.2,alta,19,0
11,95,4.5,alta,4,0
14,56,7.8,alta,19,0
13,70,5.9,media,14,0
10,94,4.8,baixa,7,1
6,93,7.5,media,2,0
12,64,4.6,media,19,0
10,83,6.7,baixa,14,0
11,71,9.8,baixa,19,0
12,50,7.3,media,13,1
8,55,6.8,media,11,0
17,50,4.2,media,14,0
15,68,7.8,baixa,6,0
8,76,6.0,baixa,16,0
10,59,8.3,alta,11,0
11,63,9.8,media,5,1
14,83,5.9,media,12,0
17,90,8.5,baixa,3,1
10,81,8.2,baixa,7,0
6,52,8.4,baixa,2,0
9,95,8.8,alta,14,0
10,65,5.0,alta,14,0
17,88,7.9,baixa,19,0
15,82,7.4,alta,9,1
15,54,5.4,media,9,0
10,84,5.9,media,18,0
12,66,5.3,alta,3,1
9,72,7.3,baixa,11,0
6,75,4.4,media,13,0
10,95,4.7,media,18,0
12,97,8.6,baixa,1,0
15,56,5.7,baixa,16,0
15,90,9.9,alta,19,0
11,56,9.1,baixa,19,0
10,64,9.3,media,16,0
9,79,4.7,baixa,5,0
7,69,7.1,alta,14,0
9,52,4.0,baixa,16,0
15,71,6.6,baixa,18,1
15,97,9.1,alta,17,0
8,99,4.9,baixa,12,0
15,56,5.7,media,11,0
6,80,7.4,media,13,1
13,98,6.6,alta,7,0
10,99,5.8,baixa,1,1
9,52,5.7,alta,6,0
13,92,6.2,baixa,14,0
12,95,8.2,alta,5,0
7,66,9.9,baixa,18,1
6,71,9.2,baixa,18,1
17,86,9.7,baixa,11,0
16,52,7.5,alta,10,0
9,97,7.6,media,11,0
13,79,4.5,media,16,0
17,73,7.9,alta,2,0
7,82,7.7,baixa,10,0
8,92,4.1,media,2,0
17,59,7.7,baixa,3,0
6,56,5.4,alta,4,0
6,65,8.6,alta,13,1
8,81,8.6,alta,4,0
16,51,8.2,baixa,1,0
10,57,6.8,alta,14,0
17,64,9.4,media,1,0
8,97,8.5,baixa,16,0
6,52,6.7,baixa,19,0
6,69,9.5,alta,16,0
13,83,6.9,alta,5,0
15,96,4.4,alta,14,0
16,95,6.4,baixa,7,0
17,90,8.3,baixa,17,0
17,53,4.8,media,6,0
7,72,7.2,media,1,0
8,57,9.0,baixa,16,0
7,59,4.2,media,12,0
8,98,5.9,media,3,0
12,87,9.7,baixa,16,0
6,54,10.0,baixa,11,0
15,59,7.7,baixa,3,1
13,75,7.0,media,17,1
15,98,6.8,media,9,0
15,65,8.1,alta,9,0
15,72,8.2,alta,4,0
7,66,4.9,baixa,14,0
8,77,4.6,alta,16,0
14,67,4.6,alta,9,0
12,90,4.6,media,11,0
9,60,7.9,baixa,1,0
15,83,9.6,baixa,5,1
10,95,9.7,alta,11,0
7,64,7.5,alta,13,0
16,50,8.6,alta,4,0
13,82,5.1,media,5,0
9,58,9.2,alta,11,0
14,93,4.9,baixa,12,0
10,66,4.5,baixa,10,0
14,64,5.9,alta,15,0
9,53,7.7,baixa,2,0
15,86,4.1,baixa,15,0
10,95,9.3,baixa,10,0
14,55,5.0,media,19,1
13,55,6.9,baixa,2,0
8,68,6.0,baixa,13,0
6,72,6.7,baixa,2,0
8,79,7.2,media,7,1
9,50,5.9,alta,1,0
7,58,8.7,alta,18,0
6,71,7.3,baixa,5,0
12,50,9.5,media,13,0
13,85,4.7,baixa,2,0
12,74,5.9,baixa,8,0
10,65,7.5,media,17,1
17,75,8.3,baixa,13,0
6,77,8.2,baixa,19,0
12,54,7.3,baixa,7,0
12,97,6.9,baixa,7,0
14,71,6.2,baixa,6,0
8,63,9.5,baixa,7,0
14,58,8.2,baixa,2,0
6,63,7.6,media,5,0
6,65,9.5,alta,15,0
9,79,8.5,alta,15,0
14,81,9.0,media,17,0
11,55,9.6,media,16,0
16,66,7.5,media,17,0
8,50,4.8,media,17,0
6,67,8.4,media,8,0
9,60,9.9,baixa,17,0
17,60,7.6,baixa,2,0
14,77,9.3,baixa,5,0
8,61,6.4,media,13,0
17,83,4.2,media,13,0
14,65,8.5,baixa,9,0
12,59,4.3,alta,15,1
17,95,9.7,baixa,16,0
9,88,7.2,media,14,0
8,57,9.6,baixa,15,0
15,75,5.3,baixa,4,0
10,91,8.8,alta,16,0
10,91,6.1,baixa,2,0
8,91,5.4,baixa,6,0
17,63,4.2,alta,12,1
14,58,4.8,media,10,0
9,98,6.4,alta,2,0
16,68,6.6,media,15,0
10,83,6.6,baixa,15,0
9,96,5.3,baixa,12,0
10,87,8.8,media,3,0
12,78,8.1,baixa,19,0
14,78,4.4,baixa,18,1
12,77,6.5,alta,8,1
10,97,6.4,baixa,13,0
15,98,9.3,baixa,18,0
15,73,8.5,media,4,0
12,77,9.7,baixa,8,0
15,91,7.5,baixa,5,0
10,93,8.2,media,9,0
8,61,7.7,baixa,9,0
12,68,5.1,media,18,0
16,55,4.3,media,8,1
16,51,4.8,baixa,2,0
7,99,7.7,alta,2,1
17,88,4.7,baixa,2,0
14,80,6.0,baixa,5,0
15,86,5.3,baixa,12,0
15,78,7.7,alta,15,0
17,89,7.6,alta,16,1
6,61,6.2,media,12,0
11,82,4.9,media,10,0
12,96,9.3,media,1,0
13,94,6.2,alta,4,0
15,74,6.3,media,7,0
14,91,5.5,baixa,10,0
7,67,8.3,alta,13,0
16,79,4.5,baixa,7,0
15,67,8.2,alta,6,0
7,56,9.0,alta,16,1
10,64,4.6,alta,3,0
10,79,9.0,alta,10,0
11,54,4.4,baixa,8,0
8,54,9.9,baixa,3,1
13,82,7.0,baixa,19,0
6,55,7.8,baixa,8,0
11,97,5.2,baixa,9,0
9,89,6.5,baixa,18,0
6,53,8.5,alta,16,0
12,62,4.8,media,10,0
14,91,7.6,alta,1,0
9,75,7.6,media,13,0
9,98,9.9,baixa,19,0
11,69,9.8,baixa,17,1
17,81,8.8,baixa,6,0
8,81,9.5,baixa,6,0
17,99,8.6,baixa,9,1
11,86,5.3,baixa,7,0
12,93,4.1,baixa,13,0
16,50,9.1,baixa,10,0
15,74,5.8,baixa,16,0
15,74,9.4,baixa,11,0
8,50,6.0,baixa,14,0
12,52,9.4,media,19,0
8,88,8.9,baixa,7,1
7,70,4.3,baixa,17,0
17,92,5.9,alta,12,0
15,74,4.8,media,17,0
9,70,8.2,alta,6,1
17,96,5.1,alta,4,0
13,52,7.3,media,15,1
14,89,4.7,media,17,1
12,78,7.5,media,4,0
6,84,7.6,baixa,14,0
8,71,7.4,media,9,0
17,72,9.6,alta,7,0
14,62,4.1,alta,12,0
17,83,6.8,baixa,3,1
6,72,4.0,media,8,1
14,84,4.2,alta,9,0
13,68,8.0,baixa,14,0
6,64,9.2,baixa,4,0
11,64,8.9,baixa,13,0
10,75,6.2,baixa,12,1
11,88,6.3,baixa,15,0
15,52,6.3,media,19,0
17,66,6.3,alta,1,0
10,79,6.2,baixa,5,1
11,77,5.4,baixa,14,0
10,83,9.3,baixa,7,0
16,65,8.5,media,11,0
17,92,5.6,media,16,0
10,90,7.1,media,15,0
9,60,5.0,baixa,17,0
8,73,8.0,media,5,1
8,72,5.2,media,1,0
9,74,8.8,media,11,0
14,86,8.6,baixa,6,1
7,62,8.9,media,12,0
14,68,7.6,baixa,9,1
6,94,4.4,alta,16,1
6,83,6.3,alta,9,0
10,51,4.6,baixa,4,0
11,57,6.5,alta,12,0
11,54,9.3,media,2,1
8,60,6.0,baixa,16,0
12,51,6.5,baixa,8,0
14,87,8.5,alta,15,0
16,81,5.4,baixa,3,0
17,73,9.0,media,5,0
15,61,9.8,media,5,0
13,87,9.8,media,13,0
11,65,4.2,media,11,1
17,73,6.9,media,18,0
13,99,5.4,baixa,8,0
17,90,4.1,baixa,10,0
10,66,6.6,media,2,0
13,81,8.1,alta,16,0
15,69,4.2,media,17,1
17,98,7.4,media,15,0
9,84,4.4,baixa,9,0
15,79,7.8,alta,2,0
13,96,6.9,baixa,8,0
15,91,8.0,baixa,17,1
17,71,4.7,media,1,0
7,80,8.1,baixa,11,1
17,86,5.5,media,16,1
17,73,4.0,baixa,3,0
10,73,9.3,alta,12,0
14,62,6.2,baixa,11,0
9,74,9.5,baixa,1,0
16,80,7.1,baixa,4,0
11,85,4.9,media,6,0
6,63,8.4,baixa,2,0
14,69,9.8,media,7,0
6,88,8.2,media,14,0
10,77,9.3,baixa,8,0
9,74,4.9,media,10,0
17,87,4.8,alta,3,0
8,92,4.3,baixa,3,0
11,60,6.7,baixa,2,0
7,67,5.4,alta,6,0
8,88,8.8,media,8,0
10,68,4.8,media,4,0
14,52,9.9,media,7,1
7,90,7.9,media,8,1
15,95,5.8,media,8,0
13,98,9.8,media,16,0
7,76,8.5,baixa,19,0
16,72,4.5,baixa,4,0
10,84,9.4,alta,19,0
12,87,7.9,alta,7,1
13,92,5.3,alta,7,1
6,62,4.1,baixa,16,0
11,75,8.8,media,16,0
6,63,6.8,baixa,5,1
7,84,4.7,baixa,4,1
6,90,7.6,baixa,13,0
16,55,8.8,alta,3,0
10,92,7.9,alta,12,0
15,57,9.0,media,3,0
14,89,7.9,baixa,3,0
11,96,10.0,baixa,17,0
16,64,6.4,baixa,19,0
16,57,5.0,media,15,0
6,94,9.0,alta,8,0
6,96,6.5,media,13,0
7,65,7.1,media,17,1
14,78,8.2,baixa,1,0
8,83,4.6,media,11,0
6,78,5.0,baixa,5,0
10,84,5.3,media,11,0
12,97,5.5,media,14,0
11,59,7.5,media,7,0
17,50,8.7,baixa,6,1
6,54,8.4,baixa,5,1
10,52,4.8,media,5,0
10,88,6.5,media,5,0
11,99,8.6,media,10,0
8,63,6.1,baixa,8,1
10,95,5.5,baixa,18,0
12,76,4.5,baixa,5,0
10,95,7.5,alta,11,0
10,78,5.4,media,9,0
10,50,6.3,media,19,0
15,67,6.7,media,1,0
15,52,5.8,media,17,0
8,75,9.8,media,17,0
6,70,8.9,media,19,0
10,73,4.9,media,15,0
14,94,4.7,baixa,16,1
6,96,6.7,alta,6,0
8,69,7.2,alta,14,0
9,78,5.1,baixa,4,0
6,67,7.6,media,10,0
6,52,7.2,alta,5,1
13,96,6.6,media,7,1
7,99,5.5,baixa,8,0
17,82,6.5,baixa,11,0
13,67,9.6,baixa,2,1
12,86,6.5,baixa,15,1
15,70,8.5,alta,11,0
15,93,4.1,baixa,19,0
7,68,4.9,baixa,1,0
11,72,5.5,media,5,0
11,69,8.0,baixa,16,1
8,73,7.2,alta,7,0
16,68,7.6,media,13,0
7,75,6.6,media,17,0
17,82,8.6,alta,18,1
6,81,4.7,baixa,19,0
11,84,6.7,alta,11,0
17,74,8.4,baixa,12,0
10,82,6.4,baixa,12,1
16,73,6.2,media,7,0
14,98,6.9,alta,7,1
6,58,4.2,media,15,0
12,86,8.6,baixa,5,0
10,86,8.5,alta,9,0
10,60,9.0,baixa,9,0
7,70,4.8,baixa,18,0
16,66,8.8,media,1,0
8,65,8.5,baixa,5,0
12,54,9.4,baixa,3,0
11,93,4.7,baixa,2,1
17,95,8.9,alta,3,0
7,59,6.3,baixa,4,0
11,62,4.5,alta,12,0
7,96,8.9,media,14,1
7,55,8.6,baixa,11,0
7,86,7.7,baixa,2,0
16,65,6.9,media,15,0
8,55,5.7,media,7,0
7,78,9.6,baixa,16,0
9,74,8.3,media,12,0
14,72,6.6,baixa,3,0
11,60,6.4,media,12,0
6,78,8.0,baixa,14,0
13,70,6.3,baixa,11,0
17,75,5.4,media,7,1
12,90,7.1,media,9,0
15,86,8.5,alta,3,0
8,60,9.7,alta,15,1
6,87,5.6,media,3,1
10,73,6.1,media,2,0
9,66,4.7,alta,19,0
15,58,9.1,baixa,11,0
13,57,7.9,baixa,18,0
6,79,8.8,baixa,11,1
15,56,4.4,baixa,14,0
6,86,6.6,alta,4,1
17,98,8.9,media,11,0
9,72,4.8,baixa,12,0
13,58,7.4,media,9,0
10,68,7.1,baixa,5,1
7,93,4.0,baixa,18,0
11,57,5.9,baixa,11,0
10,97,6.7,media,1,0
7,95,9.2,media,9,0
16,63,7.4,media,6,0
16,77,5.4,media,19,0
16,84,5.4,media,12,0
8,56,9.2,baixa,11,0
14,55,7.0,media,19,0
12,79,9.3,media,10,0
12,86,8.1,alta,1,0
16,65,6.7,baixa,1,0
11,92,9.6,baixa,8,0
13,50,4.6,media,18,0
9,91,7.8,baixa,14,0
13,66,9.9,baixa,7,0
9,56,9.6,baixa,1,0
13,84,6.5,baixa,19,0
14,54,5.4,media,3,1
8,76,5.2,media,16,0
8,79,4.4,baixa,9,0
16,93,9.8,alta,8,0
7,91,8.3,alta,16,0
15,84,6.3,baixa,1,0
8,65,7.2,media,2,0
8,55,6.9,baixa,7,0
10,65,5.8,alta,17,0
10,57,6.1,media,18,0
7,69,8.0,baixa,18,0
17,80,5.5,baixa,8,0
15,69,4.0,baixa,19,0
11,58,9.7,alta,15,0
10,79,4.2,baixa,3,0
11,62,7.1,media,1,0
6,75,7.6,baixa,19,0
10,51,4.9,baixa,18,0
14,90,5.6,media,9,0
17,94,6.5,baixa,12,0
15,95,4.6,alta,3,0
7,73,6.3,alta,9,1
6,62,10.0,baixa,4,0
15,65,9.7,baixa,5,0
16,67,6.4,baixa,9,0
14,65,9.3,media,9,1
15,51,7.3,baixa,17,0
14,50,9.9,alta,16,0
14,59,7.5,alta,11,0
